U_gain	E_gain	24c	24f	48c	48f	72c	72f
-1.7116352156627677e-05	0.14261820432372926	0	0.09375	0.03125	0.34375	0.4375	0.09375
0.0006094362730353054	0.16854199961242308	0	0.0625	0	0.59375	0.28125	0.0625
0.0013675050251162537	0.16714274808747326	0	0.0625	0	0.5	0.40625	0.03125
0.00134787935355972	0.1601715130589097	0	0.15625	0	0.5	0.28125	0.0625
0.00021080515779469606	0.17369147738987456	0	0.15625	0	0.4375	0.34375	0.0625
-0.0005133680174070379	0.18829914490598973	0	0.125	0	0.4375	0.375	0.0625
-1.1118399839856787e-05	0.1692357908468072	0	0.15625	0	0.46875	0.34375	0.03125
0.0101465036226963	0.21742506174350737	0	0.34375	0	0.28125	0.375	0
0.0006552285191338682	0.23048275866454415	0	0.375	0	0.34375	0.25	0.03125
0.013038970147794437	0.1857424174811341	0	0.25	0	0.21875	0.5	0.03125
-0.0002205509581302019	0.16467069222092423	0	0.125	0	0.5625	0.28125	0.03125
-0.00047077799815966015	0.16118919981976657	0	0.0625	0	0.5	0.34375	0.09375
0.02579755868783112	0.18628435198475438	0	0.25	0	0.3125	0.4375	0
0.00011047854239156724	0.14845831966111855	0	0.03125	0	0.5625	0.34375	0.0625
0.0007115455491992013	0.15353764316654298	0	0.21875	0	0.4375	0.3125	0.03125
-2.175438560270918e-05	0.15099998474906115	0	0.21875	0	0.34375	0.40625	0.03125
1.1393605027504934e-05	0.16070066847749226	0	0.0625	0	0.40625	0.375	0.15625
0.00043795491176763074	0.2159317523346506	0	0.1875	0	0.46875	0.34375	0
0.059952999528121324	0.24471694894387866	0	0.21875	0	0.34375	0.4375	0
0.04341938272284943	0.18657767759456104	0	0.28125	0	0.375	0.34375	0
0.06477639555807632	0.22574411667125968	0	0.1875	0.0625	0.46875	0.28125	0
0.000120091336110934	0.21980744263021412	0	0.1875	0	0.46875	0.34375	0
-0.0005224684667709172	0.15909240563734256	0	0.1875	0	0.4375	0.3125	0.0625
-0.0003441048705547365	0.1609131380085961	0	0.09375	0	0.53125	0.28125	0.09375
0.0033518341652773414	0.20354869367122855	0	0.34375	0	0.34375	0.3125	0
0.03824738263628	0.20279297645409114	0	0.28125	0.03125	0.34375	0.34375	0
0.00728700470597143	0.13484873614099982	0	0.125	0	0.4375	0.375	0.0625
0.00039791617997285655	0.19879788471202237	0	0.125	0	0.46875	0.375	0.03125
0.03611944462661471	0.1813250439392521	0	0.25	0	0.34375	0.40625	0
-0.00016866601457608834	0.12690475755210903	0	0	0	0.5	0.375	0.125
